Player,Team,Credits,Total Points
Abhishek Sharma,SRH,10.5,701
Heinrich Klaasen,SRH,10,692
KL Rahul,DC,10,685
Jos Buttler,GT,10,647
Vaibhav Sooryavanshi,RR,9,639
Sanju Samson,CSK,9.5,626
Shubman Gill,GT,10,609
Ryan Rickelton,MI,9,601
Virat Kohli,RCB,11,597
Sai Sudharsan,GT,10,593
Ishan Kishan,SRH,10.5,587
Prabhsimran Singh,PBKS,9,578
Dhruv Jurel,RR,9,567
Anshul Kamboj,CSK,8.5,562
Bhuvneshwar Kumar,RCB,9,559
Kagiso Rabada,GT,7.5,540
Shreyas Iyer,PBKS,10.5,533
Devdutt Padikkal,RCB,9,527
Jamie Overton,CSK,8,518
Jofra Archer,RR,9.5,514
Nitish Kumar Reddy,SRH,9,495
Travis Head,SRH,10,488
Yashasvi Jaiswal,RR,10,488
Eshan Malinga,SRH,8.5,453
Cooper Connolly,PBKS,7.5,448
Priyansh Arya,PBKS,9.5,444
Donovan Ferreira,RR,7.5,444
Rajat Patidar,RCB,9,439
Naman Dhir,MI,9.5,435
Ravindra Jadeja,RR,10.5,433
Rinku Singh,KKR,9,429
Angkrish Raghuvanshi,KKR,9,415
Prince Yadav,LSG,7,413
Rashid Khan,GT,9.5,410
Tristan Stubbs,DC,9,408
Cameron Green,KKR,8,408
Mitchell Marsh,LSG,10,402
Ruturaj Gaikwad,CSK,9,396
Sameer Rizvi,DC,8.5,396
Riyan Parag,RR,9,395
Aiden Markram,LSG,10,388
Rishabh Pant,LSG,9.5,379
Washington Sundar,GT,8.5,377
Pathum Nissanka,DC,7,366
Tilak Varma,MI,10,365
Noor Ahmad,CSK,9,361
Nitish Rana,DC,8.5,361
Ravi Bishnoi,RR,8.5,359
AM Ghazanfar,MI,7,354
Sunil Narine,KKR,10.5,353
Kartik Tyagi,KKR,7,351
Phil Salt,RCB,9.5,348
Mohsin Khan,LSG,7.5,348
Mohammed Siraj,GT,9.5,343
Prasidh Krishna,GT,9,334
Krunal Pandya,RCB,9,331
Hardik Pandya,MI,10.5,330
Ajinkya Rahane,KKR,9,327
Rohit Sharma,MI,10,326
Jason Holder,GT,8,326
Axar Patel,DC,9.5,325
Suryakumar Yadav,MI,10.5,322
Tim David,RCB,9,312
Ayush Mhatre,CSK,9,311
Arshdeep Singh,PBKS,10,305
Varun Chakaravarthy,KKR,10,304
Vaibhav Arora,KKR,9,303
Mohammad Shami,LSG,8.5,293
Sarfaraz Khan,CSK,7,292
Anukul Roy,KKR,7.5,287
Sakib Hussain,SRH,7,283
Marcus Stoinis,PBKS,9,280
Josh Hazlewood,RCB,10,278
Shivam Dube,CSK,10,273
Harsh Dubey,SRH,8.5,271
Nicholas Pooran,LSG,10.5,269
Ayush Badoni,LSG,9,266
Nandre Burger,RR,7,264
Lungi Ngidi,DC,8,259
Mukul Choudhary,LSG,7,257
Akeal Hosein,CSK,7.5,255
Marco Jansen,PBKS,9.5,249
Kuldeep Yadav,DC,9.5,246
Romario Shepherd,RCB,8.5,246
Brijesh Sharma,RR,7,240
Vijaykumar Vyshak,PBKS,8,239
Kartik Sharma,CSK,7.5,234
Suyash Sharma,RCB,8,227
Praful Hinge,SRH,7,222
Xavier Bartlett,PBKS,7,222
Quinton de Kock,MI,8,221
Rovman Powell,KKR,8,220
Yuzvendra Chahal,PBKS,9.5,219
David Miller,DC,9,217
Jitesh Sharma,RCB,9,210
Dewald Brevis,CSK,9,207
Shivang Kumar,SRH,7.5,207
Shashank Singh,PBKS,9,203
Rasikh Salam,RCB,7.5,200
Mitchell Santner,MI,9,194
Salil Arora,SRH,7,191
Aniket Verma,SRH,9,185
Finn Allen,KKR,7,184
Mukesh Kumar,DC,8.5,183
Sherfane Rutherford,MI,8,183
Ramandeep Singh,KKR,7.5,181
Manimaran Siddharth,LSG,7.5,174
Shardul Thakur,MI,9,169
Ashwani Kumar,MI,8.5,167
Jacob Duffy,RCB,7,166
Glenn Phillips,GT,8,165
Ashok Sharma,GT,7,165
Gurjapneet Singh,CSK,7,164
Sandeep Sharma,RR,8,163
Avesh Khan,LSG,8,162
T Natarajan,DC,7.5,160
Shimron Hetmyer,RR,9.5,158
Arshad Khan,GT,8,158
Tushar Deshpande,RR,8.5,147
Rahul Tewatia,GT,9,144
Jaydev Unadkat,SRH,7,144
Jasprit Bumrah,MI,11,139
Mukesh Choudhary,CSK,7.5,138
Ashutosh Sharma,DC,9,131
Nehal Wadhera,PBKS,9.5,127
Himmat Singh,LSG,7,121
Will Jacks,MI,9,119
Digvesh Singh,LSG,9,115
Abdul Samad,LSG,8,115
Shahrukh Khan,GT,8.5,112
Suryansh Shedge,PBKS,7.5,111
Blessing Muzarabani,KKR,7.5,110
Shubham Dubey,RR,7.5,95
Mitchell Starc,DC,10,93
Yash Punja,RR,7,91
Abhinandan Singh,RCB,7,91
Corbin Bosch,MI,7.5,88
Trent Boult,MI,10,84
Urvil Patel,CSK,8,82
Manav Suthar,GT,7,82
Pat Cummins,SRH,9.5,80
George Linde,LSG,7.5,78
Vipraj Nigam,DC,9,74
Khaleel Ahmed,CSK,9.5,70
Prashant Veer,CSK,8,70
Kyle Jamieson,DC,8,69
Matt Henry,CSK,7.5,68
